姓名,公司,岗位,身份,
陈满,助通科技,联创,演讲嘉宾,
翁总,统一,cio,参会人员,
宋总,虹桥国际艺考中心,创始人,特邀美女嘉宾,
郭总,21cake,未知,参会人员,
王总,首旅如家,cio,参会人员,
胡总,华昂,联合创始人,参会人员,
王卫军,享物说,技术负责人,参会人员,
罗涛,哈啰出行,运维团队负责人,参会人员,
徐鑫,得物,运维负责人,参会人员,
张淼,微盟,运维总监,参会人员,
彭春亮,荟巨动力,创始人,参会人员,
张祥,荟巨动力,联合创始人,演讲嘉宾,
陈璧君,中国医药工业信息中心,未知,参会人员,
邱宇炜,复星康养,科创中心总经理,参会人员,
王浚海,掌上药店,CEO,参会人员,
王阳,微医,总裁兼CTO,参会人员,
胡宏星,佳宝集团,副总裁CIO,参会人员,
秦奇,恒润达生物科技,IT总监,参会人员,
郑颖,上海艾力斯医药,供应链总监,参会人员,
周斌,药房网,副总,参会人员,
李朝阳,圣湘生物,副总,参会人员,
聂国辉,均瑶集团,总裁助理,参会人员,
谢文威,薄荷健康,联合创始人兼CTO,参会人员,
段培军,泰格医药集团,副总裁,参会人员,
寇丽章,上海天相星智能科技集团有限公司,执行董事,演讲嘉宾,
高歌,百联科创,总经理,参会人员,
LEO ZHANG,元势场,创始人,参会人员,
郑涵峰,红星美凯龙,进口招商负责人,参会人员,
夏吉吉,大润发,技术副总,参会人员,
李亚东,多样屋,CIO,参会人员,
方劲鹭,缘见品牌管理有限公司,联合创始人,参会人员,
赵凯文,上海沃们食品科技,执行经理,参会人员,
姜冬琳,上汽集团旗下子公司,nft项目总经理,参会人员,
袁东浩,光系文化,coo,参会人员,
吴刚,红星美凯龙集团,会员营销总经理,参会人员,
王峰,上海家化集团,首席数据官,参会人员,
CHELSEA 蔡,PEETS COFFEE,市场部负责人,参会人员,
陈其荣,中弘源嵘资管,合伙人,参会人员,
苗刚,汇客,CEO,参会人员,
许萌,灿谷集团,cio,分享嘉宾,
刘云,华医资本,创始合伙人、董事长,嘉宾介绍,
张汉杰,璞瑅社,联合创始人,参会人员,
刘起方,上海盼创科技有限公司,总经理,参会人员,
李云,原森科技,ceo,参会人员,
徐一真,COSTA,技术负责人,参会人员,
廣慧,久久國際集團,常务副总,参会人员,
王欣,丹特尔医疗集团,董事长,参会人员,
王若竹,上海智瀛文化发展中心,副总,参会人员,
寇丽章,上海天相星智能科技集团有限公司,执行董事,参会人员,
尹可可,上海共启网络科技有限公司,合伙人,参会人员,
芸芸,麦斯查明企业家高定,创始人,参会人员,
方万力,景淳家办,合伙人,参会人员,
王欣,赛塞美口腔医疗,创始人,参会人员,
徐平,上海翱盈,董事长,参会人员,
颜可俊,上海特雷通,CIO,参会人员,
胡云徐,薪太软,合伙人,参会人员,
周勇,奥哲,华东总经理,参会人员,
魏东亚,美光生物,ceo,参会人员,
占旭寅,浙江润阳科技,cio,参会人员,
孟晓康,律锆法服,联合创始人合伙人,参会人员,
刘冬冬,上海健坤教育科技有限公司,创始人,参会人员,
栗竹冉,中电科信,组委,参会人员,
张晓龙,揽客数字,未知,参会人员,
杨化峰,北京华夏盈远科技,总经理,参会人员,
杨文磊,联创锐鑫,总经理,参会人员,
周杰,云谋数策,ceo,参会人员,
陆总,捷豹路虎,未知,参会人员,
刘总,Polestar,未知,参会人员,
钱宏伟,上海海航集团,运维总监,参会人员,
高峰,首旅如家,架构师,参会人员,
何总,拼多多,运维总监,参会人员,
刘总,华住,运维总见兼架构师,参会人员,
邓威,瑛麒动漫,运维总监,参会人员,
陈志欣,药联,运维总监,参会人员,
王卫军,享物说技术,运维总监,参会人员,
钱广杰,万能钥匙,运维总监,参会人员,
谭彬,上海随幻科技,技术总监,主讲嘉宾,
张毅,松江永丰电子商务公司,总经理,发言,
施淇丰,数医云控股集团,ceo,特邀嘉宾,
姚乐,cio时代,创始人,分享嘉宾,
张丽锋,绝味集团,cio,分享嘉宾,
刘总,哈罗集团,cto,分享嘉宾,
詹军,简数道,ceo,参会人员,
赵国强,环球网校,产研负责人,参会人员,
胡茂华,1药网,CTO,参会人员,
许涛,上海市浦东新区中医药协会,会长,参会人员,
程佑爽,上海交大分级诊疗与健康研究所,所长,参会人员,
杨军,美年健康集团,战略客户部总经理,参会人员,
陆彩莲,智业信康（上海）软件,CEO,参会人员,
张杰,上海助为医疗集团,未知,参会人员,
施淇丰,上海实融信息科技,CEO,参会人员,
范军,清华无锡院,生物医学教授,参会人员,
李文勇,新致软件,医疗云CEO,参会人员,
陈斌,上海张江生物医药孵化器,主任博士后,参会人员,
郭青,柒木美械（上海）医疗科技,CTO,参会人员,
踪家武,上海理工医疗器械协会,会长,参会人员,
路敦亚,上海瞬得信息科技,CEO,参会人员,
邓正懿,国新健康药企服务事业部,CEO,参会人员,
胡志伟,上海晨鸣通科技,CMO,参会人员,
寇丽章,上海天相星智能科技集团有限公司,执行董事,参会人员,
吕本利,千堃网络,总经理,参会人员,
魏东亚,诺东山医疗,CEO,参会人员,
毛其安,上海英威实业,总经理,参会人员,
林骁,泰隆银行,分行行长,参会人员,
朱红日,驷佑咨询,总经理,参会人员,
王惠东,安科迪,董事长,参会人员,
沈波,先正达,数字化总监,参会人员,
沈波,先正达,数字化运营总监,参会人员,
李云,GE5教育,创始人,参会人员,
刘克杰,三陶教育联创,未知,参会人员,
杨冰蕾,拜尔斯道夫,未知,参会人员,
姚乐,CIO时代,创始人,演讲嘉宾,
王磊,芸机器人,创始人,演讲嘉宾,
刘总,哈罗集团,cto,演讲嘉宾,
苏俊明,芯与网络科技,董事长,参会人员,
吴彧,江苏港峰星链,CTO,参会人员,
缪鹏,江苏立维,CEO,参会人员,
史春玲,中科超微,总助,参会人员,
朱彬,洺芯医疗中心,执行院长,参会人员,
周大成,滴普科技,COO副总裁,参会人员,
姜辰,北京中联环信,VP,参会人员,
王博多,神桥医疗,VP,参会人员,
孙彦军,飞援科技,未知,参会人员,
栗,中电科信,未知,参会人员,
张总,北汽福田,基础架构负责人,参会人员,
李妙然,和绪智能车,创始人,参会人员,
杨义涛,戌华防务,未知,参会人员,
张军,合力,未知,参会人员,
钟华,易车,未知,参会人员,
郑吉敏,去哪儿旅行,未知,参会人员,
常文雷,首汽GoFun出行,未知,参会人员,
周秉正,长城汽车,中台,参会人员,
李立江,登途出行,技术总监,参会人员,
谭力,上海盼创科技有限公司,总经理,参会人员,
李云,原森科技,ceo,参会人员,
徐一真,COSTA,技术负责人,参会人员,
廣慧,久久國際集團,常务副总,参会人员,
王欣,丹特尔医疗集团,董事长,参会人员,
王若竹,上海智瀛文化发展中心,副总,参会人员,
寇丽章,上海天相星智能科技集团有限公司,执行董事,参会人员,
尹可可,上海共启网络科技有限公司,合伙人,参会人员,
芸芸,麦斯查明企业家高定,创始人,参会人员,
方万力,景淳家办,合伙人,参会人员,
王欣,赛塞美口腔医疗,创始人,参会人员,
徐平,上海翱盈,董事长,参会人员,
颜可俊,上海特雷通,CIO,参会人员,
胡云徐,薪太软,合伙人,参会人员,
周勇,奥哲,华东总经理,参会人员,
魏东亚,美光生物,ceo,参会人员,
占旭寅,浙江润阳科技,cio,参会人员,
孟晓康,律锆法服 的 ,联合创始人 合伙人,参会人员,
刘冬冬,上海健坤教育科技有限公司,创始人,参会人员,
栗竹冉,中电科信,组委,参会人员,
张晓龙,揽客数字,未知,参会人员,
杨化峰,北京华夏盈远科技,总经理,参会人员,
杨文磊,联创锐鑫,总经理,参会人员,
周杰,云谋数策,ceo,参会人员,
陆总,捷豹路虎,未知,参会人员,
刘总,Polestar,未知,参会人员,
钱宏伟,上海海航集团,运维总监,参会人员,
高峰,首旅如家,架构师,参会人员,
何总,拼多多,运维总监,参会人员,
刘总,华住,运维总见兼架构师,参会人员,
邓威,瑛麒动漫,运维总监,参会人员,
陈志欣,药联,运维总监,参会人员,
王卫军,享物说技术运维,总监,参会人员,
钱广杰,万能钥匙,运维总监,参会人员,
谭彬,上海随幻科技,技术总监,主讲嘉宾,
张毅,松江永丰电子商务公司,总经理/主席,发言,
施淇丰,数医云控股集团,ceo,特邀嘉宾,
姚乐,cio时代,创始人,分享嘉宾,
张丽锋,绝味集团,cio,分享嘉宾,
刘总,哈罗集团,cto,分享嘉宾,
詹军,简数道,ceo,参会人员,
赵国强,环球网校,产研负责人,参会人员,
胡茂华,1药网,CTO,参会人员,
许涛,上海市浦东新区中医药协会,会长,参会人员,
程佑爽,上海交大分级诊疗与健康研究所,所长,参会人员,
杨军,美年健康集团,战略客户部总经理,参会人员,
陆彩莲,智业信康（上海）软件,CEO,参会人员,
张杰,上海助为医疗集团,未知,参会人员,
施淇丰,上海实融信息科技,CEO,参会人员,
范军,清华无锡院,生物医学教授,参会人员,
