id,name,count,producttype,pname
13546,成品油,2676,3,石油
12170,汽油,1461,4,石油
12162,柴油,1201,4,石油
12167,煤油,8,4,石油
12518,液化石油气,549,3,石油
12513,丙烷,98,4,石油
12521,正丁烷,32,4,石油
12519,异丁烷,25,4,石油
12515,醚后C4,13,4,石油
12514,混合丁烷,11,4,石油
13041,丙烯原料气,6,4,石油
12520,异丁烯,2,4,石油
34309,汽油调和原料,252,3,石油
12512,MTBE,101,4,石油
12517,烷基化油,70,4,石油
12164,混合芳烃,56,4,石油
12163,芳烃汽油,13,4,石油
13042,甲醇汽油,12,4,石油
12546,燃料油,158,3,石油
12542,船用油,55,4,石油
34297,油浆,17,4,石油
13043,蜡油,12,4,石油
34298,渣油,5,4,石油
12291,硫磺,135,3,石油
12172,石脑油,132,3,石油
12293,溶剂油,132,3,石油
12296,石油焦,114,3,石油
12545,沥青,108,3,石油
12289,芳烃溶剂油,85,3,石油
12294,石蜡,77,3,石油
12290,基础油,76,3,石油
12285,白油,54,3,石油
12171,生物柴油,40,3,石油
12166,贸易汽油,16,3,石油
12165,贸易柴油,12,3,石油
13568,原油,11,3,石油
12299,液体石蜡,5,3,石油
12288,煅烧焦,1,3,石油
12065,石油,4634,2,能源
12480,液化天然气,301,3,天然气
12479,压缩天然气,57,3,天然气
13556,天然气,359,2,能源
12713,动力煤,25,3,煤炭
12716,炼焦煤,25,3,煤炭
12707,无烟煤,20,3,煤炭
12734,喷吹煤,10,3,煤炭
13572,煤炭,97,2,能源
27362,能源,5091,1,煤炭
13668,煤焦化,236,3,煤化工
12714,焦炭,111,4,煤化工
12705,粗苯,91,4,煤化工
12730,兰炭,34,4,煤化工
34274,焦油加工,201,3,煤化工
12692,工业萘,53,4,煤化工
12721,煤沥青,46,4,煤化工
12742,蒽油,36,4,煤化工
12762,酚油,27,4,煤化工
12754,洗油,26,4,煤化工
12776,轻油,5,4,煤化工
12696,煤焦油,137,3,煤化工
34294,高温煤焦油,90,4,煤化工
12750,中温煤焦油,41,4,煤化工
12689,加氢纯苯,65,3,煤化工
12169,煤制油,50,3,煤化工
12718,加氢甲苯,27,3,煤化工
12739,加氢二甲苯,26,3,煤化工
12751,重苯,12,3,煤化工
12724,高效低浓减水剂,6,3,煤化工
13671,煤化工,760,2,化工
12608,甲醇,163,3,醇类
12610,乙醇,127,3,醇类
12717,乙二醇,58,3,醇类
12591,正丁醇,40,3,醇类
12654,辛醇,40,3,醇类
12598,异丙醇,35,3,醇类
12599,二乙二醇,34,3,醇类
12588,丙二醇,33,3,醇类
12626,异丁醇,33,3,醇类
12625,聚乙二醇,27,3,醇类
12638,正丙醇,2,3,醇类
12659,季戊四醇,1,3,醇类
12761,二丙酮醇,1,3,醇类
13586,醇类,595,2,化工
13599,聚醚,161,3,聚氨酯
12637,软泡聚醚,45,4,聚氨酯
12667,POP聚醚,30,4,聚氨酯
12618,硬泡聚醚,24,4,聚氨酯
12622,高回弹聚醚,24,4,聚氨酯
12650,弹性体聚醚,24,4,聚氨酯
12577,己二酸,54,3,聚氨酯
12587,TDI,44,3,聚氨酯
12583,聚合MDI,42,3,聚氨酯
12580,新戊二醇,39,3,聚氨酯
12611,BDO,38,3,聚氨酯
12651,DMF,33,3,聚氨酯
12668,纯MDI,32,3,聚氨酯
12681,四氢呋喃,26,3,聚氨酯
12687,PTMEG,24,3,聚氨酯
12660,三羟甲基丙烷,20,3,聚氨酯
12639,鞋底原液,7,3,聚氨酯
34301,聚氨酯,520,2,化工
12702,顺酐,82,3,酸酐类
12711,PTA,51,3,酸酐类
12466,苯酐,50,3,酸酐类
12584,冰醋酸,46,3,酸酐类
12620,醋酸乙烯,42,3,酸酐类
12578,丙烯酸,37,3,酸酐类
12648,氯乙酸,36,3,酸酐类
12685,间苯二甲酸,26,3,酸酐类
12679,醋酐,25,3,酸酐类
12665,VAE乳液,7,3,酸酐类
13623,酸酐类,403,2,化工
12619,醋酸乙酯,43,3,酯类
12582,MMA,35,3,酯类
12647,醋酸丁酯,35,3,酯类
12463,DOP,34,3,酯类
12623,碳酸二甲酯,33,3,酯类
12641,丙烯酸丁酯,32,3,酯类
12674,醋酸仲丁酯,32,3,酯类
12460,DBP,30,3,酯类
12464,DOTP,28,3,酯类
12613,丙烯酸甲酯,24,3,酯类
12673,丙烯酸异辛酯,24,3,酯类
12658,丙烯酸乙酯,20,3,酯类
12462,DINP,12,3,酯类
12664,醋酸正丙酯,3,3,酯类
12461,DIBP,1,3,酯类
13593,酯类,387,2,化工
13798,磷酸盐,118,3,磷化工
12311,磷酸氢钙,54,4,磷化工
12315,三聚磷酸钠,25,4,磷化工
12314,六偏磷酸钠,18,4,磷化工
12309,磷酸二氢钙,11,4,磷化工
12306,焦磷酸钠,6,4,磷化工
12313,磷酸三钠,4,4,磷化工
12305,黄磷,74,3,磷化工
16868,含磷中间体,61,3,磷化工
12316,三氯化磷,35,4,磷化工
12317,三氯氧磷,26,4,磷化工
